Pattern Name,,Product Description,Designer,Craft,Skill Level,# of Projects,Season,Finished Measurements,Yarn Requirements,Needles and Other Materials,Gauge,Yarn Weight,Fiber Content
Draw PDF,Downloadable PDF,Draw is an ultra cozy open-front cardigan knit with Berroco Ultra Alpaca. Draw is a top-down seamless design featuring a knit-purl textured pattern worked into the oversized shawl collar.,Amy Christoffers,Knitting ,Intermediate,N/A,Fall/Winter,"Bust (closed): 35 (38, 42, 45½, 47½, 50, 53, 56½)""
Length: 28 (29, 29½, 30¼, 30¾, 31, 33, 33¾)""
Shown in size 38"". Suggested ease: 4–6"" positive ease. Note: The fronts have quite a bit of overlap so the fit is very forgiving.","7 (8, 9, 10, 11, 12, 13, 13) hanksof Berroco Ultra Alpaca, shown in #62188 Lunar Mix","36"" circular needles, sizes 6 (4.00 mm) and 8 (5.00 mm) or size to obtain gauge
16"" circular needle, size 8 (5.00 mm)
1 set each double-pointed needles, sizes 6 (4.00 mm) and 8 (5.00 mm)
4 stitch markers
Waste yarn to hold sleeve stitches","20 sts and 26 rows = 4"" in St st on larger needle",Worsted,50% Alpaca / 50% Wool
Shirley PDF,Downloadable PDF,"Created with a variation on a crocheted shell stitch, Shirley is a cowl that will dress up any outfit.",Alison Green,Crochet,Beginner,N/A,Fall/Winter/Spring,Approximately 8˝ wide x 40˝ around,"2 Hanks each Berroco Mixer, #8118 Groovy (A) and #8101 Flit (B)","Crochet hook, size 4.50 mm (7)",2 Pat St reps = 2¾˝; 6 rows = 2 ˝ in Pat St,DK,33% Cotton / 33% Polyester / 28% Viscose / 6% Nylon
Florence PDF,Downloadable PDF,"Worked in the round from the bottom up, Berroco Florence is a lightweight, striped hat with a hint of sparkle.",Emily Nora O’Neil,Knitting ,Beginner,N/A,Fall/Winter/Spring,"Approximately 17"" around x 10"" high
(unstretched)","1 Ball each Berroco Folio Luxe, #4601 Pisces (A) and #4603 Cassiopeia (B)","16"" length circular knitting needles - sizes 2 (2.75 mm) and 3 (3.25 mm)
1 set (4 or 5) double pointed knitting needles (dpns) - size 3 (3.25 mm)
4 st markers (1 a different color for beg of rnd)
Tapestry needle","26 sts and 36 rnds = 4"" in St st on larger needle",DK,65% Alpaca / 25% Rayon / 8% Acrylic
Berta PDF,Downloadable PDF,"Worked in Folio Luxe, a fine-weight, sparkling yarn, Berta is a garter stitch lace shawl knit from the center out.",Amy Christoffers,Knitting ,Intermediate,N/A,Fall/Winter,"Approximately 62"" across top edge x 30˝ down center","3 hanks Berroco Folio Luxe, #4628 Orion","36˝ length circular knitting needle, size 7 (4.50 mm) OR SIZE TO OBTAIN GAUGE
4 st markers
Tapestry needle
Waste yarn for provisional cast-on",16 sts and 32 rows = 4˝ in charted pat (after blocking),DK,65% Alpaca / 25% Rayon / 8% Acrylic
Nacre PDF,Downloadable PDF,"A lace accessory with a hint of glimmer, this cowl features beads that are knit into the pattern stitch.",Emily Nora O’Neil,Knitting ,Intermediate,N/A,Fall/Winter/Spring,Approximately 32” around x 9” wide (at widest point),"3 hanks Berroco Folio, #4548 Monhegan","Straight knitting needles, size 5 (3.75 mm)
300 – 4.00 mm Glass seed beads with a large hole
Large-eyed sewing needle (needs to fit through beads)
1 St marker",22 sts = 4”; 32 rows = 4” in St st,DK,65% Alpaca / 25% Rayon / 8% Acrylic
Minami PDF,Downloadable PDF,Minami is a relaxed fit tank top featuring a beautiful lace panel on the front and back.,Emily Nora O’Neil,Knitting ,Intermediate,N/A,Fall/ Spring,"Size: X-Small, Small, Medium, Large, 1X, and 2X
Bust – 32(36-40-44-48-52)”
Length – 25(25-26-26½-27½-28)""","3(3-4-4-5-5) Balls of Berroco Folio, shown in #4534 Mount Desert","Straight knitting needles, sizes 4 (3.50 mm) and 5 (3.75 mm) OR SIZE TO OBTAIN GAUGE
16” Length circular knitting needle, size 4 (3.50 mm)
2 St markers",22 sts = 4”; 32 rows = 4” in St st on larger needles,DK,65% Alpaca / 25% Rayon / 8% Acrylic
Graphite PDF,Downloadable PDF,Graphite is a beautiful a-line pullover knit seamlessly in the round from the bottom up.,Norah Gaughan,Knitting ,Intermediate,N/A,Fall/Winter/Spring,"Size: X-Small, Small, Medium, Large, 1X, and 2X
Bust – 30(34-38-42-46-50-54)”
Length – 24(24½-25½-26-27-27½-28)”","5(6-6-7-8-9-10) Balls of Berroco Folio, shown in #4534 Mount Desert","29” and 16” Length circular knitting
needles, size 6 (4.00 mm) 
Double pointed needles (dpn) size 6 OR SIZE TO OBTAIN GAUGE
4 Stitch holders
21 Stitch markers – 6 pink, 4 blue (hanging type markers) and 2 regular markers for side “seams”",20 sts = 4”; 30 rnds = 4” in St st,DK,65% Alpaca / 25% Rayon / 8% Acrylic
Hantsuki PDF,Downloadable PDF,Three different scales of chevron lace are used to create this delicate lace shawl.,Berroco Design Team,Knitting,Intermediate,N/A,Fall/ Spring,Approximately 12” in length x 56” around bottom circumference,"2 Balls of Berroco Folio, shown in #4502 Orr","29” Length circular knitting needle, size 6 (4.00 mm) OR SIZE TO OBTAIN GAUGE
One ½” button","20 sts = 4”; 32 rows = 4” in Lace Pat 1
20 sts = 4”; 32 rows = 4” in Lace Pat 2",DK,65% Alpaca / 25% Rayon / 8% Acrylic
Alyssum PDF,Downloadable PDF,"Alyssum is a long, lightweight cardigan with minimalist garter stitch details.",Alison Green,Knitting,Intermediate,N/A,Fall/ Spring,"Bust – 36(40-44-48-52-56-60)""
Length – 26(26½-27-27½-28-28½-29)""","4(5-5-6-6-7-7) balls of Berroco Folio, shown in #4507 Haze","29"" length circular knitting needle size 6 (4.00 mm)
1 set (4) double pointed knitting needles (dpns), size 6 (4.00 mm)
8 st markers
Waste yarn to hold sts","20 sts and 28 rows = 4"" in St st",DK,65% Alpaca / 25% Rayon / 8% Acrylic
Beignet PDF,Downloadable PDF,This simple garter-stitch scarf features a small keyhole section to keep the scarf tied securely around your neck.,Berroco Design Team,Knitting,Beginner,N/A,Fall/Winter,"Approximately 16"" wide x 66"" long","5 hanks Berroco Folio, #4548 Monhegan","Straight knitting needles, size 5 (3.75 mm)
Spare needle (any size up to size 5)
1 st holder","22 sts and 32 rows = 4"" in Garter St",DK,65% Alpaca / 25% Rayon / 8% Acrylic
Dowson PDF,Downloadable PDF,"Dowson is a V-shaped shawl with a simple lace repeat. The shaping of the ""wings"" ensures that this shawl doesn't slip off your shoulders.",Berroco Design Team,Knitting,Intermediate,N/A,Fall/ Spring,Approximately 60” across (top edge) x 14” long (at center) before blocking,"2 Balls of Berroco Folio, shown in #4540 Pebble","Straight knitting needles, size 8 (5.00 mm) or size to obtain gauge
2 double-pointed needles (dpn) size 8 (5.00 mm)
2 st markers
1 st holder",19 sts and 25 rows = 4” in St st,DK,65% Alpaca / 25% Rayon / 8% Acrylic
Abbott PDF,Downloadable PDF,"Abbott is a simple scarf knitting pattern that uses a one-row lace repeat. Knit with Berroco Folio, this light and airy scarf is a great accessory for any season. Dress it up with a bit of bling in Berroco Folio Luxe!",Berroco Design Team,Knitting,Beginner,N/A,Fall/Winter/Spring,"Approximately 14"" across x 77"" long","4 balls of Berroco Folio, shown in #4508 Mist",Size 5 (3.75 mm) needles or size to obtain gauge,"20 sts and 40 rows = 4"" in Lace Pattern",DK,65% Alpaca / 25% Rayon / 8% Acrylic
Goneril PDF,Downloadable PDF,This crocheted shawl pattern is worked from side-to-side with the lace edging worked as you go. Just a few balls of Berroco Folio is all you need to make this!,Berroco Design Team,Crochet,Intermediate,N/A,Fall/Winter/Spring,"Approximately 75"" across top edge x 30"" down center","4 balls of Berroco Folio, shown in #4549 Atlantic","Crochet hook, size 4.00 mm (G) or size to obtain gauge","15 tr and 5 rows = 4""",DK,65% Alpaca / 25% Rayon / 8% Acrylic
Minutia'17 PDF,Downloadable PDF,"Berroco's 2017 collection of miniature patterns for to use as holiday ornaments, gift tags... there's no limitation on how you can use these little holiday-inspired pieces! ",Berroco Design Team,Knitting ,Intermediate,N/A,Winter,"Approximately 1½"" across x 4¼"" long",Berroco Ultra Alpaca: 1 hank each #62120 Twilight Blue (Main Color) and #62100 Eiderdown (Contrast Color),"1 set (4) double pointed needles (dpns), size 3 (3.25 mm) or size to obtain gauge
1 st holder","28 sts and 31 rnds = 4"" in St st",Worsted,50% Alpaca / 50% Wool
Criss Cross PDF,Downloadable PDF,These winsome socks designed by Rebecca Osborn have a crisscrossing lattice of stitches that make for a very fun sock knitting experience.,Rebecca Hope Osborn,Knitting ,Advanced,N/A,Fall/ Winter,"Size: Small (5/6 shoe), Medium (7/8 shoe), and Large (9/10 shoe)","1 Ball Berroco Comfort Sock, #1713 Dusk","1 Set (5) double pointed knitting needles (dpn), size 3 (3.25 mm) OR SIZE TO OBTAIN GAUGE
Cable needle (cn)
Tapestry needle",30 sts = 4”;  40 rnds = 4” in St st,Fingering / Sock,50% Acrylic / 50% Nylon
Julie PDF,Downloadable PDF,"Knit from the cuff down in Berroco Comfort Sock, these sweet socks feature a folded hem with picot edging and a simple lace stitch pattern. The pattern is written for two circular needles, but you can use your preferred method to work these socks.",Brenda York,Knitting,Intermediate,N/A,Fall/Winter/Spring,"Approximately 8"" around (foot and leg) x 7"" long (from top of sock to start of heel)",Berroco Comfort Sock: 1 ball # 1702 Pearl,"Three 16"" circular needles, size 3 (3.25 mm) or size to obtain gauge
2 st markers
Tapestry needle
Scrap yarn in a different color for provisional cast-on","30 sts and 40 rnds = 4"" in St st and Lace Pat",Fingering / Sock,50% Acrylic / 50% Nylon
Sideways Cardigan PDF,Downloadable PDF,"Much like patterned sock yarn, the yarn used for this easy cardigan works up in stripes and dots, doing all the color changes for you. While working from cuff to cuff in the simplest of crochet stitches, it’s fun to see the patterns emerge and wonder what color will be next.",Berroco Design Team,Crochet,Intermediate,N/A,Fall/ Winter,"Children's sizes: 3 (6, 9, 12, 18, 24) months
Finished project: 19 (21, 22, 23, 24, 26)""","3 (3, 3, 4, 4, 4) Balls Berroco Comfort DK, #2856 Balance Beam","One crochet hook size US F/5 (3.75 mm)
Change hook size if necessary to obtain correct gauge.
Five 5/8"" buttons","22 sts and 26 rows = 4"" (10 cm) in Ridged Single Crochet (Ridged sc)",DK,50% Acrylic / 50% Nylon
Bilby PDF,Downloadable PDF,Sweet details like a ruched front panel and ruffled sleeves give this little dress irresistible style.,Berroco Design Team,Knitting,Intermediate,N/A,Fall/ Spring,"Girl's Sizes: 2, 4, and 6
Chest – 24(26-28)”
Length – 17(18-19)”","4(5-5) Balls Berroco Comfort DK, #2733 Turquoise","Straight knitting needles, size 5 (3.75 mm) OR SIZE TO OBTAIN GAUGE
Crochet hook, size 3.50 mm (E)
2 St markers","24 sts = 4”; 34 rows = 4” in St st
Yoke Pat = 4” across x 2½"" high",DK,50% Acrylic / 50% Nylon
Rerun PDF,Downloadable PDF,"Inspired by the shape of Emily’s Maine winter boots, Rerun is a pair of booties for your little one’s first winter.",Emily Nora O’Neil,Knitting,Beginner,N/A,Fall/ Winter,"Approximately 2½"" high x 4"" long (foot)",1 Ball of Berroco Comfort DK: #2745 Filbert (Main Color) and optional small amounts of #2713 Dusk (A) and #2747 Cadet (B) for tie,"1 Set (4) double pointed knitting needles (dpn), size 5 (3.75 mm) OR SIZE TO OBTAIN GAUGE
1 St holder
1 St marker",24 sts = 4”; 48 rows = 4” in Garter St with MC,DK,50% Acrylic / 50% Nylon
Minutia'16 PDF,Downloadable PDF,These four adorable sweaters can be whipped up in no time to add festive cheer to your holiday decorations. Check out the whole Minutia collection!,Berroco Design Team,Knitting ,Intermediate,N/A,Winter,Chest – 5”; Length – 3½”,Berroco Comfort DK: 1 ball #2702 Pearl (Main Color) and small amount each #2751 True Red (Contrast Color 1) and #2777 Holly (Contrast Color 2),"Crochet hook, size 3.75 mm (F) or size to obtain gauge
Safety pin for marker",22 sc and 4 rnds = 4” in sc,DK,50% Acrylic / 50% Nylon
Marcy PDF,Downloadable PDF,"Marcy is a rectangular wrap worked in offset squares of textured stitches. The pattern calls for Berroco Comfort DK, though you could also use any of the 24 shades of Berroco Modern Cotton DK to knit this piece. This pattern also works beautifully as a baby blanket.",Berroco Design Team,Knitting ,Beginner,N/A,Fall/ Spring,"Approximately 36"" wide x 50""long (after blocking)",Berroco Comfort DK: 10 balls of #2702 Pearl,"29"" circular needle, size 6 (4.00 mm) or size to obtain gauge","21 sts and 36 rows = 4"" in charted pattern (after blocking)",DK,50% Acrylic / 50% Nylon
Kaylee PDF,Downloadable PDF,"This simple kids' cardigan, knit in machine-washable Berroco Comfort DK, features a ridge stitch pattern, dropped shoulders, and built-in buttonbands. ",Berroco Design Team,Knitting ,Intermediate,N/A,Fall/ Winter,"Children's Sizes: 2 (4, 6, 8, 10)
Chest (closed)—25 (27, 29, 31, 33)""
Length—13 ½ (16, 18, 19½, 21)""
Shown in size 6.","Berroco Comfort DK: 4 (5, 6, 6, 7) balls #2776 Fern","Knitting needles, sizes 4 (3.50 mm) and 5 (3.75 mm) or size to obtain gauge
1 stitch holder
Five ¾"" buttons","24 sts and 36 rows = 4"" in Ridge Pattern on larger needles",DK,50% Acrylic / 50% Nylon
Wishshaw PDF,Downloadable PDF,Wishshaw is a long cardigan coat emblazoned with diagonal chevron texture and deep ribbing at the cuffs and hems.,Tanis Gray,Knitting ,Intermediate,N/A,Fall/ Winter,"Sizes: X-Small, Small, Medium, Large, 1X, and 2X
Bust (closed) – 32(36-40-44-48-52)”
Length – 35”
Note:  This garment was designed so that fronts just meet, do not overlap","7(8-9-10-11-12) Balls Berroco Comfort Chunky, #5713 Dusk","Straight knitting needles, sizes 9 (5.50 mm) and 10½ (6.50 mm) OR SIZE TO OBTAIN GAUGE
29” Length circular knitting needle, size 9 (5.50 mm)
3 St holders",16 sts = 4”;  26 rows = 4” in charted pat on larger needles,Bulky,50% Acrylic / 50% Nylon
Bedford PDF,Downloadable PDF,"Whip up a colorful vest, designed with pockets, a self-belt and a simple but entertaining stitch pattern.",Cirilia Rose,Knitting ,Intermediate,N/A,Fall/Winter/Spring,"Sizes: X-Small, Small, Medium, Large, 1X, and 2X
Bust (closed) – 24(28-32-36-40-44)”
Length – 23½(24-24½-25-25½-26)”
Note:  Since this garment was designed to be worn unclosed in the front, each size will fit multiple sizes.","5(5-6-7-8-9) Balls Berroco Comfort Chunky, #5721 Sprig","Straight knitting needles, sizes 10 (6.00 mm) and 10½ (6.50 mm) OR SIZE TO OBTAIN GAUGE
1 St marker",14 sts = 4”;  20 rows = 4” in Pat St on larger needles,Bulky,50% Acrylic / 50% Nylon
Orangelo Bib PDF,Downloadable PDF,"This bib is sweet and bright like its namesake fruit, and it is even worked in “segments.” Decreases are worked at the edges of each segment, bringing each one to a point.",Norah Gaughan,Knitting ,Intermediate,N/A,All Seasons,"1 ball Berroco Comfort Chunky, #5724 Pumpkin","1 ball Berroco Comfort Chunky, #5724 Pumpkin","One pair straight needles size US 10½ (6.5 mm)
Change needle size if necessary to obtain correct gauge.
Stitch markers","14 sts and 20 rows = 4"" (10 cm) in Stockinette stitch (St st)",Bulky,50% Acrylic / 50% Nylon
Forestdale PDF,Downloadable PDF,Berroco Forestdale is a fabulous scarf that incorporates two different patterns to complete this wonderfully textured accessory.  Knit in Berroco Comfort Chunky a soft blend of acrylic and fine nylon that makes for a fantastically draped piece with memory. No stretching out or bagginess will mar your detailed stitchery.,Berroco Design Team,Knitting ,Intermediate,N/A,Fall/ Winter,7” wide and 75” long,4 skeins Berroco Comfort Chunky ,US 10 (6.00mm),25 sts and 21 rows = 4” in pattern stitch,Bulky,50% Acrylic / 50% Nylon
Truck PDF,Downloadable PDF,"Berroco Truck is the perfect sweater for a trip to the playground. Knit with Berroco Comfort, it's machine-washable and soft enough for the little one to rock often!",Tonia Barry,Knitting ,Intermediate,N/A,Fall/ Winter,"Children's Sizes: 2 (4, 6, 8)
Chest – 24(26-28-30)”
Length – 15(16-17-18)”","2(3-3-3) Balls Berroco Comfort, #9736 Primary Blue (Main Color) and 1 ball each #9732 Primary Yellow (A), #9758 Crypto Crystalline (B), #9740 Seedling (C), #9731 Kidz Orange (D), #9734 Liquorice (E), #9760 Beet Root (F) and #9700 Chalk (G)","Straight knitting needles, sizes 6 (4.25 mm) and 8 (5.00 mm) OR SIZE TO OBTAIN GAUGE
16” Length circular knitting needle, size 6 (4.25 mm)
2 St markers
Bobbins (Optional)",20 sts = 4”;  27 rows = 4” in St st on larger needles,Bulky,50% Acrylic / 50% Nylon
Aram PDF,Downloadable PDF,"This classic men's aran pullover features innovative cable twists. Originally published in booklet #284 Comfort Family, this updated version has been rewritten and includes corrected charts.",Norah Gaughan,Knitting,Intermediate,N/A,Fall/ Winter,"Men's Sizes: Small, Medium, Large, 1X, and 2X
To Fit Chest Size:34(38-42-46-50)""
Chest - 36(40-44-48-52)""
Length - 25½(26-26½-26½-27)""","7(8-9-10-11) Balls Berroco Comfort, #9720 Hummus","Straight knitting needles, sizes 6 (4.25 mm) and 8 (5.00 mm) OR SIZE TO OBTAIN GAUGE
16"" Length circular knitting needle, size 6 (4.25 mm)
Cable needle (cn)
2 St markers","20 sts = 4""; 27 rows = 4"" in St st on larger needles
26 sts = 4""; 32 rows = 4"" in Charted Pat on larger needles
22 sts = 4""; 32 rows = 4"" in Double Seed St on larger needles",Bulky,50% Acrylic / 50% Nylon
Greenway PDF,Downloadable PDF,"Color therapists tout green as the most restful color. With that in mind, we aimed for the ultimate in restfulness with this afghan, combining four shades of green with a neutral. Two rows of crocheted cluster stitch combine to form pretty, daisy-shaped blocks of color, with each daisy fitting neatly into the next.",Donna Yacino,Crochet,Intermediate,N/A,All Seasons,45” wide x 60” long,"4 balls Berroco Comfort, #9748 Aunt Martha Green (B);
3 balls each #9703 Barley (A), #9721 Sprig (C) and #9744 Teal (D); 
2 balls #9762 Spruce (E)",US G/6 (4 mm),"20 sts and 9 rows = 4"" (10 cm) in Harlequin Pattern",Worsted,50% Acrylic / 50% Nylon
Autumn Haze PDF,Downloadable PDF,"This striped afghan is a celebration of the New England countryside in autumn. The yellows and oranges of sugar maples and the incredible red of viburnum are tempered by the soft green of spruce needles and the perennial greens of pine. Worked in one piece with minimal finishing, it will keep you warm as you work on it. ",Brenda York,Knitting,Beginner,N/A,All Seasons,45” wide x 60” long,"3 balls each Berroco Comfort, #9781 Olive (A) and #9721 Sprig (B); 2 balls each #9745 Filbert (C), #9743 Goldenrod (D), #9754 Rabe (E), #9724 Pumpkin (F) and #9760 Beet Root (G)","One 36"" long or longer circular needle size; US 8","20 sts and 27 rows = 4"" in Stockinette st",Worsted,50% Acrylic / 50% Nylon
Burnett PDF,Downloadable PDF,Berroco Burnett is an adorable little cardigan that is knit in one piece and features a delightful checkerboard stitch pattern. Burnett is the perfect way to keep your little one warm and happy on those cool days. Because it's buttoned it's easy to remove if they over-heat or have an accident!,Amanda Keep Williams,Knitting,Intermediate,N/A,Fall/ Winter,"Sizes: Infant's 6 mos (9 mos, 12 mos, 18 mos)
Chest (closed) - 21(22-23-24)""
Length - 11(11½-12½-13)""","2 (2, 3, 3) skeins Berroco Comfort, shown in #9703 Barley","US 8 (5mm) straight and 29"" circular","20 sts and 27 rows = 4"" in stockinette and pattern stitches",Worsted,50% Acrylic / 50% Nylon
Keweenaw PDF,Downloadable PDF,It can be hard to find a comfy hoodie when you're a bear! Keweenaw is customized to fit Barrison's ears.,Berroco Design Team,Knitting,Beginner,N/A,All Seasons,"Approximately 12"" around x 5"" long (Not including hood)","1 Ball Berroco Comfort, #9724 Pumpkin","Straight knitting needles, size 9 (5.50 mm) OR SIZE TO OBTAIN GAUGE
16' Long circular knitting needle, size 9 (5.50 mm)
2 Double pointed knitting needles (dpn), size 7 (5.50 mm)
Safety pin
Tapestry needle","18 sts = 4""; 24 rows = 4"" in St st",Worsted,50% Acrylic / 50% Nylon
Stilton PDF,Downloadable PDF,"Stilton, our sweet toy mouse, has a soft body that's knit in the round, and finished with pink floppy ears and an embroidered face.",Amanda Keep Williams,Knitting,Beginner,N/A,All Seasons,Approximately 18” around (lower part of body after stuffing) x 17” high (including ears),"1 Ball each Berroco Comfort (100 grs), #9720 Hummus (MC) and
#9710 Ballet Pink (A; Small amount Berroco Comfort
DK (50 grs), #2734 Liquorice (B)","1 Set (4) double pointed knitting needles (dpn), size 8 (5.00 mm) OR
SIZE TO OBTAIN GAUGE
Straight knitting needles, size 3 (3.25 mm)
2 St markers (2 different colors)
Tapestry needle
Polyester stuffing",20 sts = 4”; 27 rnds = 4” in St st with MC on larger needles,Worsted,50% Acrylic / 50% Nylon
Jo-Jo PDF,Downloadable PDF,Jo-Jo is a colorful pullover featuring knitted hearts and a braid around the neckline.,Brenda York,Knitting,Intermediate,N/A,Fall/Winter/Spring,"Children's Sizes: 2 (4, 6, 8, 10)
To Fit Chest Size: 20(21-22-23-24)˝
Chest – 24(25-26-27-28)˝
Length – 14½(15½-16-17-17½)˝","1(2-2-2-2) balls Berroco Comfort, #9725 Dutch Teal (Main Color)
and 1 ball each #9717 Raspberry
Coulis (Contrast Color 1) and #9721 Sprig (Contrast Color 2)","Straight knitting needles, size 8 (5.00 mm) OR SIZE TO OBTAIN GAUGE
1 set (4) double pointed knitting needles (dpns), size 7 (3.50 mm)
Crochet hook, size 5.00 mm (H)
2 st holders
6 st markers",20 sts and 26 rows = 4˝ in St st on larger needles,Worsted,50% Acrylic / 50% Nylon
Norah's Vintage Afghan PDF,Downloadable PDF,"Norah's Vintage Afghan is made up of 20 gorgeous textured blocks worked in five beautiful colors. Knit using Berroco Vintage or Comfort comes in a variety of colors, so choose your favorites to make an afghan you love!",Norah Gaughan,Knitting,Intermediate,N/A,All Seasons,"Approximately 48"" wide x 60"" long","4 Hanks each Berroco Vintage, #5104 Mushroom (A), #5192 Chana Dal (B), #5107 Cracked Pepper (C), #5105 Oats (D) and #5177 Douglas Fir (E) 
Or
4 balls each Berroco Comfort (100 grs), #9703 Barley (A), #9785 Falseberry Heather (B), #9713 Dusk (C), #9720 Hummus (D) and #9792 Hackberry Heather (E)","straight knitting needles, size US 7 (4.5mm)","20 sts and 27 rows = 4"" in St s",Worsted,50% Acrylic / 50% Nylon / 50% Wool
Schuyler PDF,Downloadable PDF,"Schuyler's twisted stitches and wide cables show off Comfort's incredible stitch definition. The pattern repeat is easy to memorize and read once you get going, and soon, you'll be wearing a blanket while you're still knitting it!",Berroco Design Team,Knitting,Intermediate,N/A,All Seasons,"Approximately 42” wide x 60”
long","13 balls Berroco Comfort, #9771 Driftwood Heather","36” circular knitting needle, size 8 (5.00 mm) or size to obtain gauge
Cable needle (cn)
16 st markers ",28 sts and 26 rows = 4” in pat sts,Worsted,50% Acrylic / 50% Nylon
River PDF,Downloadable PDF,River is made by working cables in a long strip before picking up stitches on either side to work a ribbed edging. ,Berroco Design Team,Knitting,Intermediate,N/A,Fall/ Winter,"Approximately 48"" around x 21""
high","4 balls Berroco Comfort, #9747 Cadet","Straight needles, size 9 (5.50 mm) or size to obtain gauge
24"" circular needles, sizes 7 (4.50 mm), 8 (5.00) mm and 9 (5.50 mm)
Cable needle (cn)
1 st marker","48 sts = 7""; 20 rows = 2¾"" in charted pat on larger needles",Worsted,50% Acrylic / 50% Nylon
Landon PDF,Downloadable PDF,This free pattern is a simple little baby vest. Landon is a nearly seamless topper that's knit in one piece from the bottom up. Easy increasing and decreasing creates a biased body that's worked entirely in garter stitch. Choose one of the new shades of Berroco Comfort or even try Berroco Comfort Print for a fun variegated effect.,Amy Palmer,Knitting,Intermediate,N/A,All Seasons,"Infants’ sizes: 0-3 mos, 3-6 mos, 6-12 mos, 12-18 mos, and 18-24 mos.
Chest – 13 (14½, 15½, 17, 18)""
Length – 6½ (6¾, 7¾, 8½, 9)"" (not including straps)","Berroco Comfort, 1 (1, 1, 2, 2) balls #9725 Dutch Teal","Knitting needles, size 8 (5.00 mm) or size to obtain gauge
Two ½"" buttons
1 removable stitch marker
Yarn needle","19 sts and 40 rows = 4"" in Garter St",Worsted,50% Acrylic / 50% Nylon
Dayleza PDF,Downloadable PDF,Want a lighter-than-air layering piece? Dayleza is an easy poncho knitting pattern that's worked in garter stitch. The front pieces are worked first and then joined at the neck before working the body. You only need 6 cakes of Berroco Aero to whip up this cozy wrap!,Berroco Design Team,Knitting,Beginner,N/A,Fall/ Winter,"Approximately 30"" wide x 56"" long (28"" long when wearing)","6 cakes of Berroco Aero, shown in #8018 Breeze","Knitting needles, size 13 (9.00 mm) or size to obtain gauge
Spare needle, size 13 (9.00 mm)
1 st marker","12 sts and 20 rows = 4"" in Garter St ","Bulky, Novelty",65% Alpaca / 28% Nylon /  7% Wool
Oxbow PDF,Downloadable PDF,Oxbow is a simple scarf knit side-to-side in garter stitch with two colors of Berroco Aero.,Berroco Design Team,Knitting,Beginner,N/A,Fall/ Winter,"Approximately 8½"" wide x 70"" long
Note: Scarf is knit sideways.",Berroco Aero: 1 cake each #8016 Nimbus (Main Color) and #8012 Stratus (Contrast Color),"36"" length circular needle, size 13 (9.00 mm) or size to obtain gauge","12 sts and 20 rows = 4"" in Garter St","Bulky, Novelty",65% Alpaca / 28% Nylon /  7% Wool
